Trade Month,Options Class,Underlying,Product Type,Exchange,Average Daily Volume
2026/07,A,A,S,CBOE,7
2026/07,AA,AA,S,CBOE,606
2026/07,AAAU,AAAU,S,CBOE,2
2026/07,AADX,AADX,S,CBOE,62
2026/07,AAL,AAL,S,CBOE,2842
2026/07,AAMI,AAMI,S,CBOE,0
2026/07,AAOG,AAOG,S,CBOE,10
2026/07,AAOI,AAOI,S,CBOE,1757
2026/07,AAON,AAON,S,CBOE,5
2026/07,AAOX,AAOX,S,CBOE,73
2026/07,AAP,AAP,S,CBOE,1005
2026/07,AAPB,AAPB,S,CBOE,0
2026/07,AAPD,AAPD,S,CBOE,5
2026/07,2AAPL,AAPL,S,CBOE,4397
2026/07,AAPL,AAPL,S,CBOE,46822
2026/07,AAPU,AAPU,S,CBOE,50
2026/07,AAPW,AAPW,S,CBOE,1
2026/07,AAPX,AAPX,S,CBOE,2
2026/07,AARD,AARD,S,CBOE,13
2026/07,AAT,AAT,S,CBOE,0
2026/07,AAXJ,AAXJ,S,CBOE,1
2026/07,AB,AB,S,CBOE,3
2026/07,ABAT,ABAT,S,CBOE,30
2026/07,2ABBV,ABBV,S,CBOE,380
2026/07,ABBV,ABBV,S,CBOE,502
2026/07,ABCB,ABCB,S,CBOE,1
2026/07,ABCL,ABCL,S,CBOE,337
2026/07,ABEO,ABEO,S,CBOE,8
2026/07,ABEV,ABEV,S,CBOE,0
2026/07,ABG,ABG,S,CBOE,0
2026/07,ABM,ABM,S,CBOE,1
2026/07,2ABNB,ABNB,S,CBOE,3
2026/07,ABNB,ABNB,S,CBOE,335
2026/07,ABNG,ABNG,S,CBOE,0
2026/07,ABOS,ABOS,S,CBOE,1
2026/07,ABR,ABR,S,CBOE,78
2026/07,ABSI,ABSI,S,CBOE,33
2026/07,2ABT,ABT,S,CBOE,14
2026/07,ABT,ABT,S,CBOE,314
2026/07,ABTC,ABTC,S,CBOE,64
2026/07,ABTC1,ABTC,S,CBOE,1
2026/07,ABUS,ABUS,S,CBOE,9
2026/07,ABVC,ABVC,S,CBOE,11
2026/07,ABVX,ABVX,S,CBOE,651
2026/07,ABX,ABX,S,CBOE,30
2026/07,ACA,ACA,S,CBOE,0
2026/07,ACAD,ACAD,S,CBOE,81
2026/07,ACB,ACB,S,CBOE,7
2026/07,ACDC,ACDC,S,CBOE,6
2026/07,ACEL,ACEL,S,CBOE,5
2026/07,ACES,ACES,S,CBOE,0
2026/07,ACET,ACET,S,CBOE,0
2026/07,ACGL,ACGL,S,CBOE,42
2026/07,ACHC,ACHC,S,CBOE,17
2026/07,ACHR,ACHR,S,CBOE,1644
2026/07,ACHV,ACHV,S,CBOE,3
2026/07,ACI,ACI,S,CBOE,695
2026/07,ACIC,ACIC,S,CBOE,1
2026/07,ACIU,ACIU,S,CBOE,0
2026/07,ACIW,ACIW,S,CBOE,5
2026/07,ACLS,ACLS,S,CBOE,13
2026/07,ACM,ACM,S,CBOE,4
2026/07,ACMR,ACMR,S,CBOE,132
2026/07,ACN,ACN,S,CBOE,373
2026/07,ACNT,ACNT,S,CBOE,0
2026/07,ACRE,ACRE,S,CBOE,1
2026/07,ACRS,ACRS,S,CBOE,7
2026/07,ACVA,ACVA,S,CBOE,1
2026/07,ACWI,ACWI,S,CBOE,11
2026/07,ACWX,ACWX,S,CBOE,0
2026/07,ADAM,ADAM,S,CBOE,0
2026/07,2ADBE,ADBE,S,CBOE,591
2026/07,ADBE,ADBE,S,CBOE,3075
2026/07,ADBG,ADBG,S,CBOE,14
2026/07,ADC,ADC,S,CBOE,1
2026/07,ADCT,ADCT,S,CBOE,0
2026/07,ADEA,ADEA,S,CBOE,45
2026/07,2ADI,ADI,S,CBOE,2
2026/07,ADI,ADI,S,CBOE,135
2026/07,2ADM,ADM,S,CBOE,3
2026/07,ADM,ADM,S,CBOE,84
2026/07,ADMA,ADMA,S,CBOE,16
2026/07,ADNT,ADNT,S,CBOE,5
2026/07,2ADP,ADP,S,CBOE,6
2026/07,ADP,ADP,S,CBOE,80
2026/07,ADPT,ADPT,S,CBOE,3
2026/07,ADSE,ADSE,S,CBOE,0
2026/07,ADSK,ADSK,S,CBOE,56
2026/07,ADT,ADT,S,CBOE,5
2026/07,ADTN,ADTN,S,CBOE,101
2026/07,ADUR,ADUR,S,CBOE,18
2026/07,ADUS,ADUS,S,CBOE,0
2026/07,ADV1,ADV,S,CBOE,0
2026/07,AEE,AEE,S,CBOE,1
2026/07,AEG,AEG,S,CBOE,5
2026/07,AEHR,AEHR,S,CBOE,354
2026/07,AEIS,AEIS,S,CBOE,14
2026/07,2AEM,AEM,S,CBOE,1
2026/07,AEM,AEM,S,CBOE,230
2026/07,AEO,AEO,S,CBOE,247
2026/07,2AEP,AEP,S,CBOE,1831
2026/07,AEP,AEP,S,CBOE,29
2026/07,AER,AER,S,CBOE,11
2026/07,AES,AES,S,CBOE,167
2026/07,AESI,AESI,S,CBOE,9
2026/07,AEVA,AEVA,S,CBOE,147
2026/07,AEXA,AEXA,S,CBOE,5
2026/07,AFCG,AFCG,S,CBOE,0
2026/07,AFG,AFG,S,CBOE,0
2026/07,AFL,AFL,S,CBOE,188
2026/07,AFRM,AFRM,S,CBOE,656
2026/07,AFRU,AFRU,S,CBOE,2
2026/07,AFYA,AFYA,S,CBOE,0
2026/07,AG,AG,S,CBOE,1591
2026/07,AGCO,AGCO,S,CBOE,1
2026/07,AGEN,AGEN,S,CBOE,4
2026/07,AGG,AGG,S,CBOE,3
2026/07,AGI,AGI,S,CBOE,120
2026/07,AGIO,AGIO,S,CBOE,7
2026/07,AGL,AGL,S,CBOE,8
2026/07,AGL1,AGL,S,CBOE,1
2026/07,AGM,AGM,S,CBOE,1
2026/07,AGNC,AGNC,S,CBOE,1210
2026/07,AGNT,AGNT,S,CBOE,1
2026/07,AGO,AGO,S,CBOE,2
2026/07,AGQ,AGQ,S,CBOE,539
2026/07,AGRO,AGRO,S,CBOE,15
2026/07,2AGX,AGX,S,CBOE,2
2026/07,AGX,AGX,S,CBOE,39
2026/07,AGYS,AGYS,S,CBOE,3
2026/07,AHCO,AHCO,S,CBOE,11
2026/07,AHR,AHR,S,CBOE,5
2026/07,AHRT,AHRT,S,CBOE,1
2026/07,AI,AI,S,CBOE,389
2026/07,AIA,AIA,S,CBOE,2
2026/07,AIFC,AIFC,S,CBOE,14
2026/07,AIG,AIG,S,CBOE,62
2026/07,AIN,AIN,S,CBOE,1
2026/07,AIOT,AIOT,S,CBOE,2
2026/07,AIP,AIP,S,CBOE,17
2026/07,AIPI,AIPI,S,CBOE,2
2026/07,AIPO,AIPO,S,CBOE,4
2026/07,AIQ,AIQ,S,CBOE,20
2026/07,AIR,AIR,S,CBOE,9
2026/07,AIRJ,AIRJ,S,CBOE,12
2026/07,AIRO,AIRO,S,CBOE,4
2026/07,AIRR,AIRR,S,CBOE,2
2026/07,AIRS,AIRS,S,CBOE,57
2026/07,AIS,AIS,S,CBOE,9
2026/07,AISP,AISP,S,CBOE,6
2026/07,AIT,AIT,S,CBOE,2
2026/07,AIV,AIV,S,CBOE,0
2026/07,AIVC,AIVC,S,CBOE,0
2026/07,AIYY,AIYY,S,CBOE,3
2026/07,2AJG,AJG,S,CBOE,82
2026/07,AJG,AJG,S,CBOE,16
2026/07,AKAM,AKAM,S,CBOE,157
2026/07,AKBA,AKBA,S,CBOE,3
2026/07,AKTX,AKTX,S,CBOE,0
2026/07,2ALAB,ALAB,S,CBOE,100
2026/07,ALAB,ALAB,S,CBOE,847
2026/07,2ALB,ALB,S,CBOE,2
2026/07,ALB,ALB,S,CBOE,251
2026/07,ALC,ALC,S,CBOE,11
2026/07,ALDX,ALDX,S,CBOE,1
2026/07,ALG,ALG,S,CBOE,0
2026/07,ALGM,ALGM,S,CBOE,37
2026/07,ALGN,ALGN,S,CBOE,31
2026/07,ALGT,ALGT,S,CBOE,9
2026/07,ALGT1,ALGT,S,CBOE,0
2026/07,ALH,ALH,S,CBOE,0
2026/07,ALHC,ALHC,S,CBOE,113
2026/07,ALIT,ALIT,S,CBOE,8
2026/07,ALIT1,ALIT,S,CBOE,6
2026/07,ALK,ALK,S,CBOE,58
2026/07,ALKS,ALKS,S,CBOE,6
2026/07,ALKT,ALKT,S,CBOE,10
2026/07,ALL,ALL,S,CBOE,103
2026/07,ALLE,ALLE,S,CBOE,3
2026/07,ALLO,ALLO,S,CBOE,1
2026/07,ALLT,ALLT,S,CBOE,0
2026/07,ALLY,ALLY,S,CBOE,42
2026/07,ALM,ALM,S,CBOE,38
2026/07,ALMS,ALMS,S,CBOE,1
2026/07,ALMU,ALMU,S,CBOE,29
2026/07,ALNT,ALNT,S,CBOE,3
2026/07,ALNY,ALNY,S,CBOE,60
2026/07,ALOY,ALOY,S,CBOE,61
2026/07,ALRM,ALRM,S,CBOE,0
2026/07,ALSN,ALSN,S,CBOE,1
2026/07,ALT,ALT,S,CBOE,95
2026/07,ALTG,ALTG,S,CBOE,4
2026/07,ALTO,ALTO,S,CBOE,17
2026/07,ALV,ALV,S,CBOE,0
2026/07,ALXO,ALXO,S,CBOE,1
2026/07,AM,AM,S,CBOE,5
2026/07,2AMAT,AMAT,S,CBOE,297
2026/07,AMAT,AMAT,S,CBOE,2674
2026/07,AMAU,AMAU,S,CBOE,23
2026/07,AMBA,AMBA,S,CBOE,2084
2026/07,AMBP,AMBP,S,CBOE,1
2026/07,AMBQ,AMBQ,S,CBOE,4
2026/07,AMC,AMC,S,CBOE,1781
2026/07,AMCR,AMCR,S,CBOE,17
2026/07,AMCR1,AMCR,S,CBOE,0
2026/07,AMCX,AMCX,S,CBOE,0
2026/07,2AMD,AMD,S,CBOE,6659
2026/07,AMD,AMD,S,CBOE,15185
2026/07,AMDD,AMDD,S,CBOE,10
2026/07,AMDG,AMDG,S,CBOE,1
2026/07,2AMDL,AMDL,S,CBOE,376
2026/07,AMDL,AMDL,S,CBOE,873
2026/07,AMDW,AMDW,S,CBOE,13
2026/07,AMDY,AMDY,S,CBOE,3
2026/07,AMDY1,AMDY,S,CBOE,0
2026/07,AME,AME,S,CBOE,46
2026/07,AMG,AMG,S,CBOE,1
2026/07,AMGN,AMGN,S,CBOE,114
2026/07,AMKR,AMKR,S,CBOE,279
2026/07,2AMLP,AMLP,S,CBOE,306
2026/07,AMLP,AMLP,S,CBOE,11
2026/07,AMLX,AMLX,S,CBOE,6
2026/07,AMN,AMN,S,CBOE,15
2026/07,AMP,AMP,S,CBOE,3
2026/07,AMPG,AMPG,S,CBOE,107
2026/07,AMPH,AMPH,S,CBOE,1
2026/07,AMPL,AMPL,S,CBOE,60
2026/07,AMPX,AMPX,S,CBOE,544
2026/07,AMPY,AMPY,S,CBOE,43
2026/07,AMR,AMR,S,CBOE,6
2026/07,AMRC,AMRC,S,CBOE,8
2026/07,AMRN,AMRN,S,CBOE,3
2026/07,AMRX,AMRX,S,CBOE,0
2026/07,AMRZ,AMRZ,S,CBOE,22
2026/07,AMSC,AMSC,S,CBOE,48
2026/07,2AMT,AMT,S,CBOE,50
2026/07,AMT,AMT,S,CBOE,65
2026/07,AMTB,AMTB,S,CBOE,0
2026/07,AMTM,AMTM,S,CBOE,12
2026/07,AMTX,AMTX,S,CBOE,49
2026/07,AMWL,AMWL,S,CBOE,0
2026/07,AMX,AMX,S,CBOE,0
2026/07,AMZA,AMZA,S,CBOE,1
2026/07,AMZD,AMZD,S,CBOE,4
2026/07,2AMZN,AMZN,S,CBOE,3618
2026/07,AMZN,AMZN,S,CBOE,23886
2026/07,AMZO,AMZO,S,CBOE,0
2026/07,AMZU,AMZU,S,CBOE,63
2026/07,AMZW,AMZW,S,CBOE,0
2026/07,AMZY,AMZY,S,CBOE,9
2026/07,2AMZZ,AMZZ,S,CBOE,191
2026/07,AMZZ,AMZZ,S,CBOE,4
2026/07,AN,AN,S,CBOE,6
2026/07,ANAB,ANAB,S,CBOE,4
2026/07,ANAB1,ANAB,S,CBOE,0
2026/07,ANDE,ANDE,S,CBOE,0
2026/07,ANET,ANET,S,CBOE,1214
2026/07,ANF,ANF,S,CBOE,219
2026/07,ANGI,ANGI,S,CBOE,0
2026/07,ANGL,ANGL,S,CBOE,0
2026/07,ANGO,ANGO,S,CBOE,0
2026/07,ANGX,ANGX,S,CBOE,9
2026/07,ANIK,ANIK,S,CBOE,0
2026/07,ANIP,ANIP,S,CBOE,133
2026/07,ANIX,ANIX,S,CBOE,0
2026/07,ANNX,ANNX,S,CBOE,21
2026/07,ANRO,ANRO,S,CBOE,0
2026/07,ANVS,ANVS,S,CBOE,4
2026/07,2AON,AON,S,CBOE,235
2026/07,AON,AON,S,CBOE,5
2026/07,AOS,AOS,S,CBOE,11
2026/07,AOSL,AOSL,S,CBOE,40
2026/07,AOUT,AOUT,S,CBOE,3
2026/07,AP,AP,S,CBOE,7
2026/07,APA,APA,S,CBOE,125
2026/07,APAM,APAM,S,CBOE,8
2026/07,2APD,APD,S,CBOE,524
2026/07,APD,APD,S,CBOE,14
2026/07,APEI,APEI,S,CBOE,36
2026/07,APG,APG,S,CBOE,2
2026/07,APGE,APGE,S,CBOE,6
2026/07,2APH,APH,S,CBOE,0
2026/07,APH,APH,S,CBOE,111
2026/07,APHU,APHU,S,CBOE,4
2026/07,API,API,S,CBOE,1
2026/07,APLD,APLD,S,CBOE,3211
2026/07,APLE,APLE,S,CBOE,1
2026/07,APLX,APLX,S,CBOE,48
2026/07,APLZ,APLZ,S,CBOE,0
2026/07,2APO,APO,S,CBOE,11
2026/07,APO,APO,S,CBOE,266
2026/07,APOG,APOG,S,CBOE,1
2026/07,2APP,APP,S,CBOE,4
